CPD-1106	C03557
O-PHENANTHROLINE	C00604
PHENYLACETALDEHYDE	C00601
|SER-tRNAs|	C01650
1-DEOXY-D-ALTRO-HEPTULOSE-7-PHOSPHATE	C04359
|Galactosyl-galactosyl-diacyl-glycerols|	C06037
3-UREIDO-PROPIONATE	C02642
CPD-17212	C12155
|N-Acetoxy-Arylamines|	C16684
ISOBUTYRYL-COA	C00630
CPD-12232	C08307
17-ALPHA20-ALPHA-DIHYDROXYPREGN-4-EN-3-	C04518
PROCLAVAMINATE	C06658
O-DICHLOROBENZENE	C14328
ETHYLENE-CMPD	C06547
GERANYL-PP	C00341
ISOCHROMANONE	C07728
CPD-45	C02080
CPD-9132	C11006
|Dihydroflavonols|	C15570
CPD-12603	C03149
DIMETHYLMAL-CPD	C00922
CPD-15576	C17543
CPD-14353	C12367
CPD-7867	C02277
CPD-9044	C11543
CPD-7846	C06163
|L-Fucopyranoses|	C01019
KDO2-LAUROYL-LIPID-IVA	C06251
10-DEACETYLBACCATIN-III	C11700
CPD-16908	C20854
CPD-11469	C15895
ISOPENICILLIN-N	C05557
|Protein-L-Arginines|	C00613
CPD-20137	C21694
DEOXYRIBOSE-TRIPHOSPHATE	C12347
METHYL-ACETATE	C17530
ALPHA-SANTONIN	C02206
CPD-12215	C20465
DAPHNIN	C01421
CPD-8249	C05404
PB+2	C06696
CPD-20483	C21730
CPD-425	C01586
CPD-7842	C16306
CPD-238	C02505
VINYL-ACETATE	C19309
CPD-8576	C04099
TDP	C00363
CPD-18925	C17914
GUAZATINE	C10997
2-3-DIHYDROXYBENZOATE	C00196
CPD-10032	C11411
CPD-11423	C13273
CPD-10490	C11735
CPD-15752	C12026
CPD-13337	C03453
CPD-10384	C15746
CPD-6543	C11343
N-BENZOYL-4-HYDROXYANTHRANILATE	C04207
CPD1G-121	C06718
SELENATE	C05697
CPD-15266	C20604
CPD-15460	C20777
CPD-416	C02572
5-BETA-CHOLESTANE-3-ALPHA7-TETRAOL	C05446
CPD-4754	C18225
CPD-644	C03290
+-5-oxo-1-2-campholide	C02952
CPD-19106	C21412
CPD-9959	C16269
|Protein-L-Asparagine|	C03021
CPD-19436	C21633
CPD-165	C03868
CPD-20134	C21689
D-SEDOHEPTULOSE-1-7-P2	C00447
CPD-12701	C02615
CPD-10240	C14722
CPD-9006	C16141
CPD-8646	C05107
CPD-12245	C06689
PROT-CYS	C02743
MANNITOL-1P	C00644
L-HYOSCYAMINE	C02046
CPD-7173	C07578
CPD-7872	C08387
AMINOMALONATE	C00872
CPD-9914	C19686
CPD-697	C08814
CPD-18826	C17660
CPD-10725	C05003
CPD-17521	C21162
CPD-4124	C11523
CPD0-1942	C02356
CPD-20242	C21819
CPD-18728	C21143
CPD-12197	C19726
CPD-9135	C18316
|Trans-3-enoyl-CoAs|	C05067
4-NITROPHENYL-3-KETOVALIDAMINE	C03995
D-GLUCOSYLARYLAMINE	C03142
CPD-13784	C19948
TROPINE	C00729
CPD-15532	C12368
CPD-20057	C10126
CPD-7547	C16518
CPD-12855	C19794
CPD1F-131	C08579
2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP	C15651
CPD-33	C01720
CPD1G-0	C15658
CPD-20640	C03958
ISOVALERYL-COA	C02939
CPD-9025	C16358
4-HYDROXYMETHYLPHENYLHYDRAZINE	C03994
ALPHABETA-DIDEHYDROTRYPTOPHAN	C06732
CPD-6542	C11155
CPD3DJ-11366	C06124
CPD-8696	C11880
CPD-10830	C17929
CPD-11287	C19737
CPD-3502	C16190
CPD-10588	C17346
CPD-10667	C08637
RB+	C17061
CPD-13932	C20227
HYDROXYNAPHTHOATE	C03203
CPD-10263	C19832
3-HYDROXYADIPYL-COA	C14145
CPD-8963	C14322
CPD-549	C03174
CPD-670	C01162
IMIDAZOLE-ACETOL-P	C01267
CPD-3711	C05822
HISTIDINOL	C00860
CPD-8682	C16324
N-FERULOYLGLYCINE	C02564
CPD-10608	C12838
CPD-3725	C02355
CPD-16639	C20976
METHYLNICOTINATE	C01004
|Dodec-2-enoyl-ACPs|	C05758
CPD-20012	C06561
CPD-687	C06399
CPD-15478	C17784
CPD-12708	C15488
1-METHOXY-3-INDOLYLMETHYL-GLUCOSINOLATE	C08424
HEXANOATE	C01585
CPD-17793	C18838
IMIDAZOLE_ACETALDEHYDE	C05130
|1-Alkenylglycerophosphoethanolamines|	C04635
OXAMATE	C01444
CPD-13350	C19884
CPD-20267	C21822
CPD-12595	C20890
CPD-12571	C19739
4-HYDROXYAMINOQUINOLINE-N-OXIDE	C04050
DIETHYL-2R3R-2-METHYL-3-HYDROXYSUCCIN	C04586
CPD-13874	C20178
CPD-14203	C20263
ARSENATE	C11215
CPD-183	c01424
LIMONIN	C03514
CPDQT-37	C17219
CPD-14329	C18195
1-INDANOL	C01710
DISCADENINE	C01804
CPD-6991	C09827
CPD-3421	C09126
CPD-13587	C21112
CPD-12799	C19697
CPD-12575	C00029
CPD-13050	C19801
CPD-20073	C21797
THREO-3-HYDROXY-L-ASPARTATE	C11511
CPD-10616	C03591
CPD-12356	C09131
CPD-20219	C21786
CPD-209	C04700
ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	C01289
N-5S-5-AMINO-5-CARBOXYPENTANOYL-L-CY	C05556
CPD-10687	C18170
CPD-610	C02466
CPD-684	C01414
R-2-HYDROXYGLUTARATE	C01087
CPD-26	C06019
10-BETA-HYDROXYTAXA-42011-DIEN-5-ALPH	C11898
CPD-686	C06408
ARACHIDONIC_ACID	C00219
15-OXO-5811-CIS-13-TRANS-ICOSATETRAENO	C04577
CPD-13538	C16682
CPD-19179	C21310
NARINGIN	C09789
CPD-569	C02714
|Charged-GLN-tRNAs|	C02282
NAPHTHALENE	C00829
L-THREO-3-METHYL-ASPARTATE	C03618
|2-Phenyloxirane|	C02083
CPD-402	C03005
|Cytochrome-c-S-methyl-methionine|	C05319
CPD-1130	C01989
HX	C00462
CPD-15424	C20684
CPD-9426	C10159
CPD-20340	C21016
CPD0-2244	C05264
CPD-8661	C19731
CPD-7561	C09538
INDOL-YLACETYL-MYO-INOSITOL-ARABINOSIDE	C04611
CPD-499	C01107
ENT-KAUR-16-EN-19-OL	C11872
CPD-15094	C20568
CPD-15554	C19777
CPD-2202	C03325
D-GALACTOSYL-13-BETA-D-GALACTOSYL-14-B	C04775
VIOMYCIN	C01540
CPD-4578	C15816
CPD-13632	C20398
2-OXOSTEARATE	C00869
DIHYDROCOUMARIN	C02274
CPD-15913	C21331
HEXANOYL-COA	C05270
CPD0-2412	C13558
CPD-5201	C08793
D-ERYTHRULOSE	C02022
CPD-13867	C20184
CPD-7193	C12978
CPD-12510	C11374
CPD-13966	C12384
CPD-1946	C03963
CPD1F-115	C08586
CPD-3728	C06501
CPD-668	C03600
CPD-13709	C04793
CPD-10546	C20635
MANNOSE-1P	C00636
S-781314-TETRAHYDROPROTOBERBERINE	C05204
CPD-8577	C04725
CPD-17068	C21835
PROPENE	C11505
CPD-11747	C17950
CPD-18666	C21192
BENZYLAMINE	C15562
CPD-11232	C18699
PYRIDINE	C00747
CPD-16004	C16873
CPD-7072	C01709
2-CIS6-TRANS-FARNESOL	C03220
CPD-9646	C17556
CPD-17204	C20548
DTDP-D-GLUCOSE	C00842
CPD-8755	C09882
CPD-14797	C20477
CPD-9444	C16826
1-ALKYL-2-ARACHIDONYL-SN-GLYCERO-3-PETH	C05210
CPD-10545	C01926
CPD-16924	C21130
3-METHYLENEOXINDOLE	C02796
UDP-4-AMINO-4-DEOXY-L-ARABINOSE	C16153
CPD-7996	C10860
CPD-19710	C21603
4H9FLUORENONE	C07723
CREATINE	C00300
CPD-17539	C20962
CPD-16488	C03975
CPD-10178	C16755
5-METHYL-THF	C00440
CPD-1082	C03091
CPD0-2184	C12624
CPD-16439	C20790
O-ACETYLCARNITINE	C02571
CPD-9456	C17434
CPD-4887	C11393
CPD-575	C09822
CPD-9321	C18133
D-ALTRONATE	C00817
CROTONO-BETAINE	C04114
|Fatty-acid-methyl-esters|	C03395
CPD-13359	C04904
TETRADEHYDROACYL-COA	C04512
CPD-13556	C00713
CPD-10818	C20345
CPD-7323	C11903
PHENYLACETALDOXIME	C16075
CPDQT-422	C08403
BUTYRYL-COA	C00136
CPD-9322	C17412
CPD-9673	C07490
CPD-4891	C06307
CPD-13868	C20185
CPD-658	C01219
2-HYDROXYFORMONONETIN	C02920
CPD-6623	C17750
CPD-377	C06473
CPD-12427	C20155
CPD-10254	C21000
CPD-55	C01838
NITRITE	C00088
PRO	C00148
CPD-13369	C20696
CPD-20244	C21821
CPD-12963	C11983
GLUTACONATE	C02214
6-HYDROXYPROTOPINE	C05190
CPD-9699	C08287
CPD-18093	C20492
CPD-15944	C12002
CPD-155	C03269
SHIKIMATE	C00493
3-KETO-ADIPATE	C00846
10-FORMYL-THF	C00234
CPD-13837	C06630
AMINOBUT-CPD	C03678
CPD0-2497	C08042
CPD-1162	C06187
5-BETA-ANDROSTANE-317-DIONE	C03772
N-SUCCINYLLL-2-6-DIAMINOPIMELATE	C04421
CPD-522	C02655
CPD-1119	C00591
CPD-8708	C11888
CPD-18786	C21367
N-ACETYL-D-GLUCOSAMINE-1-P	C04256
|Lewis-a-epitope|	C04850
UTP	C00075
CPD-17213	C08073
CPD-12495	C16252
L-ARABINOSE	C00259
CPD6666-1	C19670
7-O-ACETYLSALUTARIDINOL	C05322
CPD-6641	C12134
N-FORMYLMETHIONINE	C03145
CDP-36-DIDEOXY-D-MANNOSE	C03598
MALEATE	C01384
CPD-10347	C08064
CPD-312	C03790
CPD-7196	C13433
|Tubulin-L-Lysine|	C03318
|Protein-Disulfides|	C02582
CPD-14817	C09421
CPD-12249	C19719
CPD-15268	C20605
PROCOLLAGEN-5-HYDROXY-L-LYSINE	C01211
CPD-281	C04424
CPD-13618	C20404
|6-Phospho-b-D-galactosides|	C03847
CPD-20256	C21711
2-HYDROXYDAIDZEIN	C02495
CPD-12285	C19876
CPD-17559	C19270
CPD-9838	C18080
19-OXO-TESTOSTERONE	C05295
CPD-8250	C08615
CPD-10824	C04558
CAPSAICIN	C06866
CPD-18756	C10552
N-FORMYLKYNURENINE	C02700
CPD-1907	C03040
CPD-317	C02015
DIHYDROSTREPTOMYCIN-6-PHOSPHATE	C01221
CPD-1005	c06579
KIEVITONE-CPD	C01590
CPD-14172	C14130
CPD-12005	C02535
CPDQT-420	C17250
CPD0-1643	C21027
CPD-10274	C19491
CPD-384	C05731
CPD-0	C20462
CPD-19837	C21804
CPD-10145	C00324
BERGAPTOL	C00758
CARBONYL-SULFIDE	C07331
CPD-74	C01109
4-ALPHA-METHYL-5-ALPHA	C08825
CPD-7079	C09833
CPD-3723	C03031
CPD-12281	G13060
ALPHA-6-O-BETA-D-XYLOPYRANOSYL-BETA-D-	C11531
CPD-614	C02661
DIHYDROXYNAPHTHOATE	C03657
CPDQT-341	C17245
CPD-8767	C06304
CPD-1071	C01270
CPD-17820	C20420
20-HYDROXY-3-OXOPREGN-4-EN-21-AL	C04108
CPD-6996	C16232
CPD-10405	C15739
SOLANESYL-PYROPHOSPHATE	C04145
CPD-8634	C16409
16-BETA-HYDROXYSTEROID	C03050
12-DICHLOROETHANE	C06752
CPD-333	C02360
5-BETA-SCYMNOL	C16260
CPD-394	C02723
CPD-12502	C08062
CPD-8746	C16142
CHOLESTEROL	C00187
CPD-16806	C21102
CPD-1133	C04287
|Oxidized-Rubredoxins|	C00435
CR+3	C19368
CPD-10272	C20311
CPD-12725	C10025
CPDQT-296	C17252
CPD-15937	C09555
N-5-PHOSPHORIBOSYL-ANTHRANILATE	C04302
CPD-9937	C11016
CPD-6124	C15668
|Protein-L-serines|	C02189
CPD-563	C04517
NACL	C13563
CPD-342	C00674
LUTEOLIN-7-O-BETA-D-GLUCOSIDE	C03951
CPD-14609	C02256
CPD-12573	C19807
CYCLOHEX-13-DIENE-56-DIHYDROXY-1-CARBO	C19684
CPD-15181	C20367
FRUCTURONATE	C00905
CPD-14017	C20236
THR	C00188
CPD-14144	C03209
D-MYO-INOSITOL-34-BISPHOSPHATE	C04063
CPD-11890	C21124
CPD-12945	C12394
CODEINE	C06174
CPD-19836	C21805
CPD-19210	C17350
CPD-20449	C21728
|1-Alkyl-sn-glycero-3-phosphocholines|	C04317
|Charged-GLY-tRNAs|	C02412
CPD-14540	C11121
CYANURIC-ACID	C06554
6-KESTOSE	G02540
OXOPENTENOATE	C00596
CPD-10148	C00837
CPD-16760	C11007
3-URACIL-1-YL-L-SERINE	C03584
CHOLINE	C00114
CPD-20506	C07240
|Charged-ILE-tRNAs|	C03127
CPD-15802	C12419
PELARGONIDIN-CMPD	C05904
CPD0-920	C21444
AMINO-OXOBUT	C03508
CPD-690	C06506
CPD-13430	C20902
CPD-18522	C21419
CPD-7097	C18228
CPD-7860	C15965
CPD-9002	C15988
CPD-13712	C20240
CPD-373	C01685
CPD-19877	C21593
CPD-14378	C15853
CPD-11667	C18072
CPD-170	C01613
CYCLOPENTANONE	C00557
CPD-10512	C19614
CPD-13101	C19625
CPD-707	C01789
CPD-16491	C04744
|Nucleosides|	C00801
L-CYSTEATE	C00506
CPD-11588	C14649
2-PG	C00631
CPD-13973	C01661
CPD-14155	C17583
2-KETO-3-DEOXY-D-GLUCARATE	C03921
|D-Xylose|	C00181
CPD-12836	C20643
VERATRALDEHYDE	C02201
CPD-7096	C08574
L-1-PHOSPHATIDYL-GLYCEROL	C00344
DADP	C00206
CPD-10475	C16002
CPD-62	C04030
THZ	C04294
CPD-428	C03240
SORBITOL	C00794
CPD-605	C01727
CPD-348	C00823
CPD-5205	C20787
CPD0-2241	C06228
2INDANONE	C07727
METHIONYL-PEPTIDE	C11440
A-3-OXO-ACID	C01656
CPD-19629	C08146
CPD-10854	C18302
CPD0-2391	C13192
CPD-11751	C19687
CPD-18820	C21471
CPD-10590	c05448
CDP	C00112
CPD-14553	C00052
CPD-15961	C17942
CPD-3563	C11625
CPD-13833	C11995
CPD-19826	C05825
INOSINE	C00294
CPD-5861	C02781
CPD-673	C02703
CPD-240	C03666
CPD-4403	C15510
CPD-4302	C02922
17-O-ACETYLNORAJMALINE	C11809
PEPTIDE-FORMYLKYNURENINE	C03529
CHLORATE	C01485
GLYCEROL-3P	C00093
CPD-10809	C18910
CPD-15104	C14463
CPD-19296	C11253
CPD-577	C09823
CPD-19245	C01938
CPD-1242	C05394
ACYL1-6GALBETA1-3ACYL2GRO	C06038
PROTOAPHIN-AGLUCONE	C02879
HMP	C01279
OXALATE	C00209
CPD-10587	c05445
CPD-1909	C00843
CPD-18895	C05307
F-	C00742
CPD-72	C17345
CPD-8709	C11884
CPD-8674	C16827
CPD-7291	C15502
CPD-17870	C06625
CEPHALOSPORIN-C	C00916
CPD-4862	C20313
CPD-19801	C21802
CPD0-882	C19769
CPD0-1327	C07649
CPD-143	c07455
TETRAHYDROXYPTERIDINE	C03178
CPD-16813	C17961
CPD-19745	C21614
CPD-761	C04553
ACET	C00033
|Sulfhydryls|	C01525
CPD-17598	C10627
CPD-13246	C21104
CPD-14950	C05902
CPD-6082	C05665
CPD-5961	C11825
BIOTIN	C00120
1-RADYL-2-ACETYL-SN-GLYCERO-3-PHOSPHOLIP	C05218
CPD1F-138	C06093
ADENOSYL-P4	C01260
FERRIC-ENTEROBACTIN-COMPLEX	C06230
STRICTOSIDINE-AGLYCONE	C03309
CPD-14799	C20478
CPD-7966	C16314
CPD-13804	C01912
L-2-AMINOPENTANOIC-ACID	C01826
LONG-CHAIN-KETONE	C01450
CPD-9815	C09060
CPD-19705	C11438
12-BIS-O-SINAPOYL-BETA-D-GLUCOSIDE	C04275
CPD-17897	C19613
CPD-17980	C05956
ALPHA-GLUCOSE	C00267
CPD-12896	C16464
CPD-13860	C20172
CPD-19834	C21648
CARBAMYUL-L-ASPARTATE	C00438
3-HEXAPRENYL-4-HYDROXYBENZOATE	C13425
GLUTATHIONYLSPERMIDINE	C05730
CPD-14166	C17588
|Alpha-omega-dicarboxylates|	C04025
2-HYDROXY-2-METHYLPROPANENITRILE	C02659
2CH2-3CH3-SUCC	C02295
CPD-15544	C20674
17-O-DEACETYLVINDOLINE	C01091
2-ACETO-LACTATE	C06010
CPD-731	C16317
ALKYL-SN-GLYCERO-PHOSPHOETHANOLAMINE	C04476
HOMO-SER	C00263
APIGENIN-7-O-NEOHESPERIDOSIDE	C12627
CPD-12386	C17204
CPD-201	C02949
CPDMETA-13652	C19931
DEHYDROSPHINGANINE	C02934
3-OXOGLYCYRRHETINATE	C02943
UDP-APIOSE	C01623
IPRONIAZID	C11777
|Deoxy-Ribonucleosides|	C02269
CPD-15163	C05985
CPD-14545	C14531
CPD-543	C00919
CPD-14343	C20366
CPD-1069	C04366
CPD-511	C00831
CPD-8231	C08315
CPD-444	C04188
CPD-15321	C20639
345-TRIHYDROXY-367-TRIMETHOXYFLAVO	C04552
CPD-13808	C06838
CPD-10758	C16814
|Lactosyl-Ceramides|	C01290
CPD-6975	C11867
TUNGSTATE	C20679
CPD-389	C00802
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	C04640
THREO-DS-ISO-CITRATE	C00451
CPD-17385	C16168
CPD-8239	C09666
HYDANTOIN-5-PROPIONATE	C05565
CPD-10189	C19911
CPD-11437	C07523
13-BETA-D-GALACTOSYL-N-ACETYL-D-GLU	C04910
ALPHA-N-ACETYL-ETCETERA-ESTRADIOL-GLUCUR	C04806
CPD-19250	C21329
CPD-15005	C20469
CPD-17519	C21161
HYDROXYNAPHTHOQUINONE	C03840
CPD-12806	C18693
CPD-13895	C07430
CPD-8965	C14324
CPD-863	c03448
CPD-57	C03195
CPD-231	C04181
|Charged-HIS-tRNAs|	C02988
CPD-290	C06321
UDP	C00015
CPD-20441	C21716
|Beta-L-Rhamnosides|	C02605
CPD-6643	C10486
CPD-7598	C11695
|Primary-Alcohols|	C00226
CPD-11916	C11923
CPD-15528	C18637
CPD-7383	C16297
CPD-845	C19446
CPD-14310	C20276
CPD-4750	C11901
CPD-1981	C17639
|Neolactotetraosylceramides|	C04922
CPD-19114	C21453
CPD-12048	C06535
CPD-7233	C15512
CPDQT-405	C17249
CPD-8651	C08538
N-FORMYLANTHRANILATE	C05653
CPD-8055	C06151
2-OXO-5-METHYLTHIOPENTANOIC-ACID	C17211
PYRIDOXAL	C00250
AMP	C00020
CPD-13255	C08983
CPD-12695	C19788
S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE	C04425
CPD-12904	C16468
CPDQT-4	C15926
ADP	C00008
ADENOSYLCOBINAMIDE	C06508
PSEUDOCUMENE	C14533
4-CHLOROPHENYLACETONITRILE	C03679
2-AMINO-4-OXO-6-123-TRIHYDROXYPROP	C05253
CPD-440	C02717
CPD-700	C15778
CPD-18780	C21282
DIHYDROMETHANOPHENAZINE	C11904
CPD-12352	C20410
CPD-9245	C08362
CPD-10532	C07617
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	C11436
|ILE-tRNAs|	C01644
CPD-8580	C02816
3-P-HYDROXYPYRUVATE	C03232
CPD-307	C04210
CPD-9418	C17355
CPD-16478	C00715
CPD-10831	C17928
CPD-12825	C16884
CPD-16583	C17726
CPD-10262	C16218
CPDMETA-13643	C20405
CPD-15250	C20518
CPD-7138	C08639
LUTEOLIN-7-O-NEOHESPERIDOSIDE	C12630
CPD-291	C16588
|6-Acetyl-Beta-D-Galactosides|	C03773
CPD-17198	C20546
|LEU-tRNAs|	C01645
CPD-19753	C01187
CPD-9290	C08374
CPD-8679	C19827
CPD-7274	C15569
GUANIDINO-ACETATE-P	C03166
CPD-253	C04796
CPD-13510	C17391
CPD-14429	C09206
CLAVAMINATE	C06660
CPD-442	C04740
PENTANOYLCOA-CPD	C00888
L-TYROSINE-METHYL-ESTER-4-SULFATE	C04201
CPD-15919	C20944
CPD-9453	C17438
CPD-8052	C06150
5-HYDROXYISOURATE	C11821
PREGNANEDIOL	C05484
CODEINONE	C06171
N-FORMIMINO-L-GLUTAMATE	C00439
CPD-14174	C06383
4-HYDROXYCYCLOHEXANECARBOXYLATE	C04404
CPD-14301	C20322
VELLOSIMINE	C11634
CPD-20748	C09642
7-METHYL-3-OXOOCTANOYL-COA	C03685
HOMOMETHIONINE	C17213
CPDQT-273	C08415
CPD-12805	C18229
CPDQT-31	C17214
CPD-13382	C18032
CPD-16753	C20593
CPD-8848	C20681
CPD-13167	C20419
CPD-867	C07160
CPD-15770	C18636
|Cytochrome-c-arginines|	C15528
--MENTHOL	C00400
CPD-17729	C18622
CPD-8230	C09629
MALONYL-ACP	C01209
3-OH-BENZALDEHYDE	C03067
CPD-14126	C17582
PHLORETIN	C00774
HOMOGENTISATE	C00544
2-HYDROXYMETHYL-4-OXOBUTANOATE	C04106
2-HYDROXYGLUTARYL-COA	C03058
CPD-2748	C11360
OXALO-GLUTARATE	C05533
D-GALACTARATE	C00879
5Z8Z10E14Z-12S-12-HYDROPEROXYICOS	C05965
QUINOLINE	C06413
CPD-15934	C15685
COLUMBAMINE	C01795
VITEXIN-2-O-B-L-RHAMNOSIDE	C12628
CPD-1136	C04225
PREGNA-4911-DIENE-320-DIONE	C04084
CPD-1722	C06394
CPD-15105	C16490
GAMMA-HCH	C07075
CPD-276	C02633
4-DIMETHYLAMINOPHENYLAZOBENZENE	C03764
ADENOSINE	C00212
HYDROGEN-PEROXIDE	C00027
TRANS-12-DCE	C06791
CPD-7862	C16301
CHLOROHYDROQUINONE	C06601
CPD-488	C02985
CPD-842	C07561
A-2-HYDROXYCARBONYL-COMPOUND	C03667
CPD-10064	C11414
CPD-17680	C08305
|2-hydroxyacyl-glutathiones|	C03899
CPD-7671	C00409
CPD-11591	C18217
CPD-11770	C21008
MN+3	C19611
CPD-14659	C09186
CPD-14880	C13050
CPD-4943	C11952
CPD-8816	C21298
CPD-9124	C06568
DATP	C00131
CPD-8735	C09898
MALTOTETRAOSE	C02052
CPD-15548	C11926
SINAPOYL-S-MALATE	C02887
P-AMINO-BENZOATE	C00568
CPD-17197	C20545
CPD-9189	C19791
ZYMOSTEROL	C05437
CPD-11775	C16724
CPD-19243	C21403
CPD-12847	C01748
CPD-254	C03088
D-METHYL-MALONYL-COA	C00683
|All-trans-Retinyl-Esters|	C02075
2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE	C02059
CPD-20588	C11893
CPD-8898	C15985
CPD-13238	C06217
UNDECAPRENYL-DIPHOSPHATE	C04574
ALPHA-RIBAZOLE	C05775
CPD-20577	C21778
MORPHOLINE	C14452
3-HYDROXY-PROPIONYL-COA	C05668
CPD-6958	C10275
CPD-3745	C05123
CPD-9065	C18153
CPD-20143	C21698
1-5-PHOSPHORIBOSYLIMIDAZOLE-4-ACETATE	C04437
1-KESTOTRIOSE	C03661
CHOLANATE2	C04643
CPD-16637	C12381
CPD-403	C03986
ACETOIN	C00466
3-CARBOXY-4-METHOXY-N-METHYL-2-PYRIDONE	C04447
|S-2-Hydroxyacids1|	C02613
CPD-8740	C20274
ALKYL-CINNAMATE	C06357
CPD-12102	C20778
CPD-15208	C20520
CPD-392	C16831
CPD-9449	C20747
CPD-15290	C20496
CPD-480	C03872
SN-GLYCEROL-1-PHOSPHATE	C00623
PHOSPHONATE	C06701
CPD-10324	C06821
CPD-729	C01226
|2-Hydroxy-carboxylates|	C02929
CPD-60	C06195
CPD-15834	C20738
|CoM|	C03576
CPD-18242	C09047
CPD-15508	C11918
5Z9E11Z14Z-8S-8-HYDROPEROXYICOSA-TETRAEN	C14823
BENZOATE	C00180
H2SO3	C00094
CPD-4205	C04713
PYRIDOXAMINE-5P	C00647
1-2DHFLUORENE	C07724
N-METHYLANILINE	C02299
CPD-1124	C02824
3-ADPGLYCERATE	C02509
BIS2-ETHYLHEXYLPHTHALATE	C03690
CPD0-1137	C04058
CPD-12676	C19768
CPD-15408	C20609
CPD-17259	C05989
2K-4CH3-PENTANOATE	C00233
CPD-9217	C06543
3-AMINO-6-ACETAMIDOHEXANOATE	C03846
STAUROSPORINE	C02079
3Z-PHYCOERYTHROBILIN	C05912
11-DCE	C14039
CPD-1116	C04546
CPD-7075	C09755
CPD-3722	C02532
CPD-9307	C08295
CPD-14443	C20258
CPD-9833	C16846
CPD-6963	C10254
CPD-7848	C06165
CPD-7400	C08734
CPD-13875	C20178
CPD-8781	C06760
CPD-18287	C21187
CPD-27	C05339
CPD-10041	C11415
CPD-16912	C12049
CPD-17698	C21170
CPD-7272	C15566
CPD-20701	C11210
PEPTIDE-TRYPTOPHAN	C02732
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	C03838
3-HYDROXY-L-KYNURENINE	C03227
|7-hydroxyisoflavones|	C15615
CETRAXATE	C01564
CPD-6882	C10094
4-NITROQUINOLINE-N-OXIDE	C03474
DIHYDRO-NEO-PTERIN	C04874
CPD-9451	C02631
CPD-17529	C21156
CPD-13905	C06047
CPD-3762	C04051
5-AMINO-2-OXOPENTANOATE	C01110
CPD-305	C01616
UDP-ACETYL-CARBOXYVINYL-GLUCOSAMINE	C04631
2-KETO-6-AMINO-CAPROATE	C03239
CPD-14185	C18002
12-BETA-D-GLUCURONOSYL-D-GLUCURONATE	C04354
ALPHA-KOJIBIOSE	C15548
CPD-13922	C20148
CPD-15487	C01913
CALCITRIOL	C01673
CPD-8581	C03941
CPD-14013	C20230
CPD-14457	C07543
CPD-17216	C20894
CPD-12792	C19693
CPD-15209	C20516
N-ACETOXY-4-AMINOBIPHENYL	C03621
D-HEXOSE-6-PHOSPHATE	C02965
CPD-8851	C17755
CPD-11853	C18338
CPD-1181	C06188
CPD-15799	C05317
TABERSONINE	C09244
CPD-4588	C03944
CPD-9384	C01047
THIOPHENE-2-CARBONYL-COA	C07347
CPD-16775	C18428
CPD-7015	C16540
CPD-7204	C12287
CPD-159	C03656
CPD-271	C03027
CPD-7399	C08733
CPD-322	C00920
HYDROXYMALONATE	C02287
CPD1F-97	C11860
3-HYDROXYPHENYLACETATE	C05593
CPD-4886	C00521
CPD-11786	C21125
MESO-TARTRATE	C00552
CPD-20639	C10038
HYDROXYTRIDECANE-ETCETERA-TRICARBOXYLATE	C04655
256-TRIHYDROXY-56-DIHYDROQUINOLINE	C06339
CPD-1772	C06735
CPD-260	C11409
CPD-401	C01262
CPD-19099	C12128
PHENYLHYDRAZINE	C02304
CPD-16909	C20855
CPD-13676	C13154
TAXA-42011-DIEN-5-ALPHA-YL-ACETATE	C11896
CPD-18621	C21497
2-HYDROXYPYRIDINE	C02502
|Donor-H2|	C00030
CPD-8050	C06153
CPD-14655	C09190
DMPBQ	C15883
5-O-INDOL-3-YLACETYL-MYO-ETCETERA	C04695
CPD-9007	C19851
CPD-11281	C17267
D-MANNOSYL-1-PHOSPHOUNDECAPRENOL	C15542
CPD-8730	C16829
CPD-7302	C01942
BENZYL-2-METHYL-3-OXOBUTANOATE	C04000
PICOLINATE	C10164
CPD0-1113	C06454
CPD-571	C04080
CPD-7003	C17440
D-GLUCOSAMINE-6-P	C00352
CPD-13879	C19918
ARABINOSE	C02604
345-TRIHYDROXY-37-DIMETHOXYFLAVONE	C01265
RIBULOSE-5P	C00199
CPD-20495	C10190
CPD-682	C02462
CPD-9787	C11250
PREGNAN-21-OL	C00892
S-ACETYLPHOSPHOPANTETHEINE	C03725
CPD-12511	C18094
CPD-9067	C11242
CPD-18481	C21064
CPD-15955	C01687
CPD-3945	C15796
CPD-12188	C17743
CPD-9441	C18053
CPD-8764	C09665
CPD-8011	C19796
4-MALEYL-ACETOACETATE	C01036
|H-antigen|	C04648
CPD-11432	C09664
CPD-13586	C21111
INDOLE_ACETALDEHYDE	C00637
PROTEIN-C-TERMINAL-S-FARNESYL-L-CYSTEINE	C04748
CPD-1961	C06562
CPD-16521	C20842
